RegionName,SizeRank,Complaint Score,Gentrification Score,Population,Population Density,median_income,median_property_prices
11426,5548,67.78021015761821,5.0,19348.0,14342.2,98987.0,291942.7570855296
10037,6286,57.71828268210323,5.0,18041.0,68340.7,46263.0,541066.5009158915
11415,6447,61.94602748910493,5.0,19020.0,33477.1,70900.0,361033.7983012926
11362,6501,68.88771186440678,5.0,17897.0,6994.5,93333.0,349666.3610279339
10017,6681,66.03672106824926,8.0,16278.0,50847.0,131045.0,817508.8453785537
11239,7294,65.51984877126654,4.0,12943.0,22228.3,29172.0,439564.7413265597
11004,7671,65.84235860409146,5.0,14045.0,14782.4,95436.0,313193.4813606118
10044,8875,58.225806451612904,5.0,12050.0,49860.2,104808.0,862299.5641639994
10005,9718,61.54022988505747,7.0,7570.0,102965.2,189702.0,1111452.4631374457
10007,10357,62.3522662076879,8.0,6748.0,41282.4,224063.0,3097791.0012256484
10018,10508,66.34364820846906,8.0,8062.0,25054.8,122484.0,1423311.0091844108
10069,10691,66.23893805309734,5.0,5523.0,53018.6,132500.0,1894812.4839142996
11363,11111,67.90050590219224,5.0,7625.0,8778.8,101019.0,428955.4761366487
10282,12178,66.9298245614035,5.0,5903.0,67476.6,250001.0,2082492.2205727734
10464,14072,66.24373956594324,5.0,4532.0,1261.2,96366.0,528864.142309647
10006,14713,60.86431226765799,7.0,2950.0,32132.0,179044.0,1027578.9653010846
10004,30490,63.50389321468298,8.0,3024.0,5402.4,190223.0,1130336.511493283
